          100nF; 15;"C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C22";C0603C104K4RACTU
            10K;  3;"R6 R7 R10";  ERJ-3EKF1002V
           10uF;  2;"C18 C19";JMK212BJ106KD-T
             1k;  3;"R1 R2 R3";  ERJ-3EKF3000V
            1uF;  2;"C1 C20";GRM188R60J105KA01D
           20pF;  2;"C2 C3"; C1608C0G1H200J
            220;  2;"R8 R9";  ERJ-3EKF2200V
           4.7k;  2;"R4 R5";  ERJ-3EKF4701V
          4.7nF;  1;"C21";CC0603KRX7R9BB472
           8Mhz;  1;"X1";    ECS-80-20-4
         BTM511;  1;"U2";         BTM511
         CONN_2;  1;"P5";   68001-202HLF
         CONN_3;  2;"P1 P2";   68000-103HLF
         CONN_4;  2;"P3 P4";   68001-104HLF
         JUMPER;  4;"AT1 AT2 SDN2 SND1";   68001-202HLF
    LD1117DT33C;  1;"U4";  LD1117DT33CTR
    LD1117DT50C;  1;"U5";  LD1117DT50CTR
          LED_G;  1;"D1";     APT2012SGC
          LED_R;  1;"D3";      APT2012EC
          LED_Y;  1;"D2";    APT2012SYCK
 STM32F100RBT6B;  1;"U1"; STM32F100RBT6B
         SWITCH;  1;"SW2";      B3FS-1012
       W25Q80BV;  1;"U3";   W25Q80BVSSIG
